registro_id,persona_id,nombre_apellido,area,lider_responsable,proyecto_id,proyecto_nombre,categoria_proyecto,fecha,tiempo_horas,fuente,estado,observaciones,timestamp_registro
8d162f7c-25c4-40e3-a332-27a5a6c6baf8,PER-0009,Paula Ramírez,Investigación,Natalia Duarte,PRJ-2025-043,Análisis de Datos Implementación,evolutivo,2024-10-17,31.81,SQL_app,confirmado,,2024-10-17 11:14:15
a4e21199-b690-4679-b332-6c8cf2859c19,PER-0025,Iván Flores,Calidad,Andrea Salcedo,PRJ-2025-027,Transformación Digital Fase I,administrativo,2025-04-06,107.5,SQL_app,confirmado,,2025-04-06 10:09:55
4b2b435e-526b-4cf9-9228-2c421fb83fc2,PER-0056,Melissa García,Investigación,Natalia Duarte,PRJ-2025-051,Seguridad Implementación,administrativo,2025-02-21,5.28,SQL_app,confirmado,Completado a tiempo,2025-02-21 14:01:42
f2b77adf-16c8-4f0e-b2ec-20fc2d34029d,PER-0037,Gabriel Muñoz,Administrativo,Paola Herrera,PRJ-2025-033,Mejora Continua Revisión,proyecto,2025-04-05,23.2,SQL_app,confirmado,,2025-04-05 14:00:22
70c9a7e0-f5ac-448b-998c-419f81a47928,PER-0107,Paula Hernández,Soporte,Miguel Ríos,PRJ-2025-059,Transformación Digital Expansión,ausentismos,2025-02-05,3.61,SQL_app,confirmado,,2025-02-05 15:00:58
6ebe63e1-e4ef-481b-98dc-626df4281cb3,PER-0110,Valentina Rodríguez,Investigación,Natalia Duarte,PRJ-2025-057,Experiencia Cliente Expansión,proyecto,2025-02-19,1.04,SQL_app,confirmado,Completado a tiempo,2025-02-19 12:12:20
fa0d1adf-04f9-4fbe-a04f-ba11454703c3,PER-0063,Jorge Mora,Soporte,Miguel Ríos,PRJ-2025-015,Mejora Continua Expansión,proyecto,2024-09-17,1.95,SQL_app,confirmado,Sin novedad,2024-09-17 10:11:07
8ea986a1-15f6-4d76-bae3-be04617a3d5b,PER-0080,Melissa Reyes,Investigación,Natalia Duarte,PRJ-2025-035,Bienestar Expansión,administrativo,2024-05-14,11.9,SQL_app,confirmado,Completado a tiempo,2024-05-14 18:43:13
b543f42f-8bae-4c4f-9ed3-3b7135f8a2ff,PER-0042,Mateo Suárez,Administrativo,Paola Herrera,PRJ-2025-014,Transformación Digital Implementación,proyecto,2024-12-19,16.59,SQL_app,confirmado,Completado a tiempo,2024-12-19 10:32:01
e50cd7ef-454d-46f5-a304-c07fdcc69e2d,PER-0070,Juan Rojas,Otros,Roberto Gómez,PRJ-2025-004,Transformación Digital Expansión,evolutivo,2024-10-27,0.25,SQL_app,confirmado,Requiere aprobación,2024-10-27 14:25:38
