registro_id,persona_id,nombre_apellido,area,lider_responsable,proyecto_id,proyecto_nombre,categoria_proyecto,fecha,tiempo_horas,fuente,estado,observaciones
ffe612eb-5c92-4500-94ad-c03a05fc8217,PER-0009,Paula Ramírez,Investigación,Natalia Duarte,PRJ-2025-043,Análisis de Datos Implementación,evolutivo,2024-10-17,13.31,Smartsheet,confirmado,Atraso menor
9d459d42-4366-48b4-bd42-d209e795b25e,PER-0025,Iván Flores,Calidad,Andrea Salcedo,PRJ-2025-027,Transformación Digital Fase I,mantenimiento,2025-04-06,59.35,Smartsheet,confirmado,
947e16d6-1291-4adb-9071-495bf56a011f,PER-0056,Melissa García,Investigación,Natalia Duarte,PRJ-2025-051,Seguridad Implementación,administrativo,2025-02-21,10.58,Smartsheet,corregido,OK
5ea737c9-475d-4db6-8204-86468e64ff1b,PER-0037,Gabriel Muñoz,Administrativo,Paola Herrera,PRJ-2025-033,Mejora Continua Revisión,proyecto,2025-04-05,10.68,Smartsheet,confirmado,
46919328-3406-4f8c-be14-29d9e7d33d8a,PER-0032,Ximena Suárez,Desarrollo,Juliana Torres,PRJ-2025-031,Seguridad Revisión,otros,2025-03-09,8.58,Smartsheet,confirmado,
d0916c19-7668-4c1b-bfdf-7c3c434b1e9f,PER-0084,Tatiana Suárez,Recursos Humanos,Laura Ospina,PRJ-2025-045,Experiencia Cliente Fase I,proyecto,2024-05-03,71.07,Smartsheet,pendiente,Bloqueado por dependencia
dc19fc49-f4e2-4e03-bf91-871c8500081b,PER-0118,Alejandra Vargas,Infraestructura,Diego Castillo,PRJ-2025-055,Análisis de Datos Revisión,ausentismos,2024-07-02,6.51,Smartsheet,rechazado,Sin novedad
45bceab6-37e3-4f20-af0a-13f8c91a89ac,PER-0107,Paula Hernández,Soporte,Miguel Ríos,PRJ-2025-059,Transformación Digital Expansión,ausentismos,2025-02-05,1.69,Smartsheet,confirmado,Parcialmente ejecutado
58a5b3d7-4a76-49a7-9feb-5fe8567a7044,PER-0081,Mateo Mora,Recursos Humanos,Laura Ospina,PRJ-2025-016,Seguridad Piloto,soporte,2024-09-18,5.85,Smartsheet,confirmado,
718b43f7-df50-412e-b911-1925c00e3f36,PER-0020,Sebastián Silva,Recursos Humanos,Laura Ospina,PRJ-2025-046,Gestión del Cambio Fase II,otros,2024-08-18,3.56,Smartsheet,rechazado,Revisión pendiente
